id,url,score,name,rank,n_reviews,city,Utmärkt,Hemskt,tags,Mycket bra,Medelmåttigt,county,Dåligt
87,https://www.tripadvisor.se/Attraction_Review-g189852-d2551766-Reviews-Kungstradgarden_Park-Stockholm.html,4.0,Kungsträdgården Park,40,198,Stockholm,10,0,Parker|Natur och parker,11,9,Stockholms län›,0
88,https://www.tripadvisor.se/Attraction_Review-g189852-d313578-Reviews-Kulturhuset-Stockholm.html,4.0,Kulturhuset,41,231,Stockholm,19,0,Kulturhus|Sevärdheter och landmärken,23,11,Stockholms län›,4
89,https://www.tripadvisor.se/Attraction_Review-g189852-d207778-Reviews-Ostermalm-Stockholm.html,4.5,Ostermalm,42,123,Stockholm,6,0,Område|Sevärdheter och landmärken,5,4,Stockholms län›,1
90,https://www.tripadvisor.se/Attraction_Review-g189852-d577325-Reviews-Sandhamn-Stockholm.html,4.5,Sandhamn,43,137,Stockholm,12,0,Öar|Område|Sevärdheter och landmärken|Natur och parker,16,4,Stockholms län›,0
91,https://www.tripadvisor.se/Attraction_Review-g189852-d1053867-Reviews-Tyska_Kyrkan_Old_German_Church-Stockholm.html,4.0,Tyska Kyrkan (Old German Church),44,146,Stockholm,3,0,Arkitektoniska byggnader|Heliga och religiösa platser|Sevärdheter och landmärken,4,0,Stockholms län›,0
93,https://www.tripadvisor.se/Attraction_Review-g189852-d244308-Reviews-Kaknas_Television_Tower-Stockholm.html,4.0,Kaknästornet,46,267,Stockholm,10,1,Utsiktsdäck och utsiktstorn|Sevärdheter och landmärken,27,9,Stockholms län›,3
94,https://www.tripadvisor.se/Attraction_Review-g189852-d207783-Reviews-Thiel_Gallery_Thielska_Galleriet-Stockholm.html,4.5,Thielska Galleriet,47,129,Stockholm,15,2,Arkitektoniska byggnader|Konstmuseer|Museer|Sevärdheter och landmärken,13,0,Stockholms län›,0
95,https://www.tripadvisor.se/Attraction_Review-g189852-d4976210-Reviews-Jarnpojken-Stockholm.html,4.5,Järnpojken,48,89,Stockholm,3,0,Intressanta platser och landmärken|Sevärdheter och landmärken,0,1,Stockholms län›,0
96,https://www.tripadvisor.se/Attraction_Review-g189852-d244315-Reviews-Riddarholm_Church_Riddarholmskyrkan-Stockholm.html,4.0,Riddarholm Church (Riddarholmskyrkan),49,166,Stockholm,1,0,Heliga och religiösa platser|Historiska platser|Sevärdheter och landmärken,6,0,Stockholms län›,0
100,https://www.tripadvisor.se/Attraction_Review-g189852-d655997-Reviews-Nordiska_Kompaniet_NK-Stockholm.html,4.0,Nordiska Kompaniet (NK),53,132,Stockholm,9,0,Varuhus|Shopping,7,0,Stockholms län›,1
101,https://www.tripadvisor.se/Attraction_Review-g189852-d592201-Reviews-National_Museum_of_Science_and_Technology-Stockholm.html,4.0,Tekniska Museet,54,173,Stockholm,23,1,Vetenskapsmuseer|Museer,32,11,Stockholms län›,5
104,https://www.tripadvisor.se/Attraction_Review-g189852-d1874921-Reviews-SkyView-Stockholm.html,3.5,SkyView,57,419,Stockholm,6,0,Arenor och idrottsarenor|Sevärdheter och landmärken,11,7,Stockholms län›,2
105,https://www.tripadvisor.se/Attraction_Review-g189852-d279067-Reviews-Old_Haymarket-Stockholm.html,4.0,Hötorgshallen,58,178,Stockholm,20,3,Loppmarknader och torghandel|Shopping,16,8,Stockholms län›,1
106,https://www.tripadvisor.se/Attraction_Review-g189852-d532302-Reviews-Bergianska_Tradgarden-Stockholm.html,4.5,Bergianska Trädgarden,59,56,Stockholm,12,0,Trädgårdar|Natur och parker,9,1,Stockholms län›,0
107,https://www.tripadvisor.se/Attraction_Review-g189852-d6372707-Reviews-Katarina_Hissen-Stockholm.html,4.5,Katarina Hissen,60,72,Stockholm,0,0,Intressanta platser och landmärken|Sevärdheter och landmärken,2,1,Stockholms län›,0
108,https://www.tripadvisor.se/Attraction_Review-g189852-d3342231-Reviews-Ericsson_Globe-Stockholm.html,4.0,Ericsson Globe,61,145,Stockholm,5,0,Arenor och idrottsarenor|Sevärdheter och landmärken,9,6,Stockholms län›,1
109,https://www.tripadvisor.se/Attraction_Review-g189852-d2099114-Reviews-Stockholm_Transport_Museum_Sparvagsmuseet-Stockholm.html,4.5,Stockholm Transport Museum (Sparvagsmuseet),62,87,Stockholm,5,0,Specialmuseer|Museer,8,0,Stockholms län›,2
110,https://www.tripadvisor.se/Attraction_Review-g189852-d208278-Reviews-Nationalmuseum-Stockholm.html,4.0,Nationalmuseum,63,211,Stockholm,9,0,Konstmuseer|Museer,9,6,Stockholms län›,2
111,https://www.tripadvisor.se/Attraction_Review-g189852-d3700255-Reviews-S_ta_Clara_kyrka-Stockholm.html,4.0,S:ta Clara kyrka,64,62,Stockholm,8,0,Kyrkor och katedraler|Sevärdheter och landmärken,2,3,Stockholms län›,0
112,https://www.tripadvisor.se/Attraction_Review-g189852-d628545-Reviews-Uto-Stockholm.html,4.5,Utö,65,41,Stockholm,13,0,Öar|Natur och parker,7,0,Stockholms län›,0
113,https://www.tripadvisor.se/Attraction_Review-g189852-d605139-Reviews-The_Stockholm_Concert_Hall-Stockholm.html,4.0,Kungliga Filharmonikerna / Stockholms Konserthus,66,66,Stockholm,3,0,Arkitektoniska byggnader|Symfonier|Intressanta platser och landmärken|Konserter och föreställningar|Sevärdheter och landmärken|Mer,5,2,Stockholms län›,1
115,https://www.tripadvisor.se/Attraction_Review-g189852-d3566506-Reviews-Stockholm_Globe_Arena-Stockholm.html,4.0,Stockholm Globe Arena,68,138,Stockholm,6,0,Arenor och idrottsarenor|Sevärdheter och landmärken,6,8,Stockholms län›,1
117,https://www.tripadvisor.se/Attraction_Review-g189852-d246216-Reviews-Norrmalm-Stockholm.html,4.0,Norrmalm,70,55,Stockholm,3,0,Område|Sevärdheter och landmärken,0,0,Stockholms län›,0
